
@RELATION cluster_type

@ATTRIBUTE text_ratio	REAL
@ATTRIBUTE tag_ratio 	REAL
@ATTRIBUTE max_weight 	REAL
@ATTRIBUTE num_big   	REAL
@ATTRIBUTE class 	{DOCUMENT,LINKS,INVALID}

@DATA

%10jqka.com.cn

%jike.news
0.8355329949238579,0.5,740,5,DOCUMENT
0.880219639892734,0.631578947368421,740,20,DOCUMENT
0.4258836944127708,0.65625,294,1,LINKS
0.6927026035936927,0.5620437956204379,418,12,DOCUMENT
0.4307692307692308,0.5714285714285714,468,2,LINKS
0.56640625,0.5882352941176471,252,2,DOCUMENT
0.3613861386138614,0.5666666666666667,636,2,LINKS

%people.com.cn
0.225,0.5172413793103449,50,0,LINKS
0.5953278070836473,0.6666666666666666,434,4,DOCUMENT
0.9507822685788787,0.5185185185185185,911,3,DOCUMENT
0.5975039001560063,0.42105263157894735,142,2,DOCUMENT
0.5908154253753312,0.2773109243697479,703,9,DOCUMENT
0.4723404255319149,0.5882352941176471,849,1,LINKS
0.0,0.0,8,0,LINKS
0.29516129032258065,0.5862068965517241,130,1,LINKS
0.7870370370370371,0.6,48,1,DOCUMENT
0.19515115234959593,0.48214285714285715,604,2,LINKS
0.11972588013974737,0.5789473684210527,6302,2,LINKS
0.30007309941520466,0.52,1326,3,LINKS
0.5249716231555052,0.5555555555555556,426,3,DOCUMENT
0.06953162723322066,0.44047619047619047,310,2,LINKS
